Lane_N_Count,Lane_S_Count,Lane_E_Count,Lane_W_Count,Congestion_N,Congestion_S,Congestion_E,Congestion_W,Current_Green_Lane,Green_Timer_Remaining,Event_Type,Event_Lane,Congestion_Level,Optimal_Action,Signal_Duration
34,30,37,27,70.2,71.1,85.4,80.2,S,2,Normal,None,Severe,GREEN_E,83
35,27,34,33,76.7,79,78.7,90.2,E,43,Normal,None,Severe,GREEN_W,61
17,22,16,27,57.6,50.2,64,53.3,S,26,Ambulance,E,High,GREEN_E,35
41,41,37,22,69.9,83.6,93.8,78,S,3,Ambulance,E,Severe,GREEN_E,35
42,21,35,28,82.5,76.1,82.4,68.3,S,13,Breakdown,W,Severe,GREEN_N,80
8,11,26,19,54.1,58.8,60.8,73.4,E,27,Ambulance,W,High,GREEN_W,35
21,31,32,31,64.7,87.5,79,81.8,E,14,Normal,None,Severe,GREEN_S,65
12,27,8,9,51.2,69.7,74.8,51.5,W,3,Ambulance,E,High,GREEN_E,35
13,9,21,16,51.3,57.1,57.3,72,N,54,Breakdown,S,High,GREEN_W,59
2,5,12,4,13.2,23,52.6,65.7,N,27,Ambulance,W,Moderate,GREEN_W,35
11,2,3,9,39.3,48.4,15.3,39.1,S,27,Ambulance,S,Moderate,GREEN_S,35
26,27,8,15,57.8,62.3,71.1,53.7,W,17,Ambulance,E,High,GREEN_E,35
21,41,21,30,67.4,82.9,70,88.7,E,28,Ambulance,W,Severe,GREEN_W,35
10,10,15,10,23.4,29.2,30.6,43.9,E,27,Ambulance,W,Moderate,GREEN_W,35
2,2,14,3,23.3,64,54.2,20.1,S,27,Ambulance,S,Moderate,GREEN_S,35
55,33,46,35,97.5,100,100,100,S,54,Breakdown,W,Severe,GREEN_E,83
26,15,10,16,63.4,49.9,46.2,55.5,W,6,Ambulance,N,Moderate,GREEN_N,35
28,20,19,24,88.2,73.3,68.2,81.3,S,34,Normal,None,Severe,GREEN_N,55
25,23,41,23,77.5,77.5,83.9,78.1,S,34,Ambulance,E,Severe,GREEN_E,35
41,40,35,51,100,93.3,92.9,100,N,14,Breakdown,S,Severe,GREEN_W,69
6,9,10,8,22.3,36.7,30.7,24.4,N,10,Normal,None,Low,GREEN_S,29
19,21,22,14,60.5,49.9,56.6,55.3,N,29,Normal,None,Moderate,GREEN_N,49
18,27,36,38,66.8,83.6,75.9,71.8,S,29,Ambulance,S,High,GREEN_S,35
9,16,13,17,44.9,64.4,81.4,66.8,S,53,Breakdown,N,High,GREEN_E,55
50,46,37,54,95.5,94.6,92.6,100,W,28,Ambulance,W,Severe,GREEN_W,35
19,28,33,26,77,83,79.5,97.7,E,19,Normal,None,Severe,GREEN_W,79
20,22,25,15,48.2,64,75.4,46.2,S,20,Ambulance,E,High,GREEN_E,35
25,26,22,10,64.4,57.1,51.4,43.2,S,16,Breakdown,E,Moderate,GREEN_N,46
13,15,2,2,52.9,46.1,21.3,19.9,S,31,Normal,None,Moderate,GREEN_N,34
31,22,34,41,82.5,92.1,77.3,81.1,W,21,Breakdown,W,Severe,GREEN_S,72
34,38,31,38,67.1,82.4,95.3,77.1,W,19,Ambulance,E,Severe,GREEN_E,35
35,29,25,20,80.5,93.4,74.4,73.6,W,7,Breakdown,E,Severe,GREEN_S,57
10,4,3,2,45.3,22.1,51.7,15.7,E,19,Ambulance,E,Moderate,GREEN_E,35
50,55,40,49,100,99.5,90.6,100,E,42,Normal,None,Severe,GREEN_W,69
10,22,24,11,49.2,53.4,63.7,51.1,E,3,Normal,None,Moderate,GREEN_E,42
13,5,13,14,26.9,22.2,33.6,27.3,S,2,Normal,None,Low,GREEN_E,12
12,19,16,12,49.4,60.9,55.9,53.6,E,27,Normal,None,Moderate,GREEN_S,47
43,42,36,51,100,99.8,100,100,S,47,Normal,None,Severe,GREEN_N,68
35,44,49,42,95,100,100,100,S,58,Normal,None,Severe,GREEN_S,68
36,37,32,33,97,96.5,100,100,N,3,Normal,None,Severe,GREEN_E,56
17,19,28,12,59.1,69,62,46.1,W,55,Normal,None,High,GREEN_S,63
24,20,35,39,65.8,76,75.2,85.4,E,55,Normal,None,High,GREEN_W,64
17,8,24,27,50.7,52.3,58.6,68.6,W,7,Ambulance,W,High,GREEN_W,35
27,37,21,28,77.7,74.4,65.5,76.6,N,25,Ambulance,N,High,GREEN_N,35
4,1,8,7,30,11.3,50.8,43.9,W,30,Normal,None,Moderate,GREEN_E,35
35,32,24,22,81.7,71,94.3,69.8,E,22,Ambulance,E,Severe,GREEN_E,35
2,11,3,11,22.1,41.1,22.7,49.7,S,31,Ambulance,W,Moderate,GREEN_W,35
28,28,40,29,74,71.6,86,77.9,S,19,Normal,None,Severe,GREEN_E,58
32,30,18,36,81.1,82.9,69.5,86.2,S,59,Normal,None,Severe,GREEN_W,61
15,5,12,14,43.2,26.5,28.2,34,S,29,Ambulance,N,Moderate,GREEN_N,35
18,34,18,32,77.5,74.6,75,85.5,E,10,Ambulance,W,Severe,GREEN_W,35
27,20,27,13,68,60.2,52.2,54.4,E,35,Normal,None,High,GREEN_N,64
43,40,46,42,100,100,100,100,W,31,Normal,None,Severe,GREEN_N,68
19,20,16,26,60.3,56.7,78.2,63.7,E,22,Ambulance,E,High,GREEN_E,35
14,7,6,6,44.5,32,33,20.9,S,2,Normal,None,Moderate,GREEN_N,43
11,8,7,11,34,20.8,33.8,32.5,N,24,Ambulance,N,Low,GREEN_N,35
14,13,28,18,47.1,43.9,63.8,59.9,E,19,Breakdown,W,Moderate,GREEN_E,42
31,20,28,38,74.5,64,74.2,79.7,W,23,Breakdown,E,High,GREEN_W,62
42,50,47,51,98.8,100,100,100,W,71,Normal,None,Severe,GREEN_E,82
18,11,12,14,63,48.1,55.1,62,N,39,Normal,None,High,GREEN_N,45
10,13,3,13,36.9,41.7,48.6,28.7,W,10,Ambulance,E,Moderate,GREEN_E,35
11,14,9,6,33.2,37.2,35.2,18.8,S,9,Breakdown,E,Moderate,GREEN_S,39
14,12,9,14,41.4,34.7,32.5,33.8,S,29,Ambulance,N,Moderate,GREEN_N,35
16,23,24,9,60.8,61.4,52.9,71.3,N,13,Normal,None,High,GREEN_W,45
9,23,21,11,53.8,60.9,67.2,57.1,S,30,Ambulance,E,High,GREEN_E,35
37,35,42,28,76,78.4,94.4,80.5,S,3,Breakdown,W,Severe,GREEN_E,55
11,9,8,7,31.5,36.7,24.9,30.1,E,23,Ambulance,S,Low,GREEN_S,35
15,19,27,24,49.7,54.2,71.4,61,N,24,Normal,None,High,GREEN_E,64
37,42,40,40,98.5,100,98.2,98.8,S,18,Normal,None,Severe,GREEN_S,58
41,38,34,20,93.3,78.5,79.6,67.8,S,4,Ambulance,N,Severe,GREEN_N,35
2,11,5,10,15.8,42.9,23.3,34.9,W,12,Normal,None,Low,GREEN_S,28
15,12,10,16,63.1,51.7,49.7,57.2,E,29,Ambulance,N,Moderate,GREEN_N,35
7,10,6,6,43.4,37.3,21,29.4,S,14,Ambulance,N,Moderate,GREEN_N,35
34,23,32,20,81.4,95.8,84.5,75.9,N,21,Ambulance,S,Severe,GREEN_S,35
50,45,42,34,97.7,100,100,95.4,N,26,Ambulance,S,Severe,GREEN_S,35
8,4,11,7,60.5,16.6,45.7,23.9,S,7,Normal,None,Moderate,GREEN_N,38
47,55,36,47,100,100,100,100,W,25,Normal,None,Severe,GREEN_S,61
19,33,28,33,79.3,89.7,70.4,79.8,N,47,Normal,None,Severe,GREEN_S,57
31,38,24,32,74.3,79,85.1,78.7,N,23,Ambulance,E,Severe,GREEN_E,35
11,11,9,22,50.4,60.6,46.2,72.5,S,34,Breakdown,S,High,GREEN_W,60
26,20,21,27,54.4,60.7,55.9,50,E,20,Ambulance,S,Moderate,GREEN_S,35
15,15,17,14,61.3,63.2,72.6,54.6,S,23,Normal,None,High,GREEN_E,55
32,53,39,38,95.9,100,94.7,93.6,N,33,Ambulance,S,Severe,GREEN_S,35
15,10,28,12,50.3,51.8,62.2,52.1,S,7,Normal,None,Moderate,GREEN_E,38
35,21,28,20,81.3,76.5,93.8,67.8,W,61,Breakdown,N,Severe,GREEN_E,65
30,20,25,25,79.7,91.8,73,71,S,29,Normal,None,Severe,GREEN_S,56
15,6,3,3,47.9,23.7,24,15.8,S,4,Normal,None,Low,GREEN_N,34
26,13,26,21,56.3,57.3,56.7,62.3,W,10,Ambulance,W,High,GREEN_W,35
21,9,15,20,55.9,42.6,55.4,61.7,S,27,Breakdown,E,Moderate,GREEN_W,32
8,6,6,7,41.1,35.4,31.3,47.4,N,9,Normal,None,Moderate,GREEN_W,44
22,26,40,19,72.3,76,77.5,71.1,W,30,Normal,None,High,GREEN_E,47
14,24,18,8,59.1,65.4,61.3,75.8,S,21,Ambulance,W,High,GREEN_W,35
20,11,10,10,67.8,46.5,45.9,45.5,N,32,Breakdown,E,Moderate,GREEN_N,37
42,55,34,55,100,100,94.7,100,N,7,Normal,None,Severe,GREEN_N,58
20,27,18,27,58.7,68.1,59.4,57.5,E,45,Normal,None,High,GREEN_S,47
16,27,24,26,55.4,62.3,50.4,63.5,N,40,Normal,None,High,GREEN_W,46
49,55,44,32,100,100,93.3,100,W,28,Ambulance,W,Severe,GREEN_W,35
46,40,35,38,100,100,99.4,100,N,26,Ambulance,W,Severe,GREEN_W,35
17,19,20,18,52.9,60.8,54.5,50.9,N,26,Normal,None,Moderate,GREEN_S,36
14,12,1,7,42,40.6,19.4,20.9,N,9,Normal,None,Low,GREEN_N,13
20,22,22,25,70.1,57.8,55.4,60.9,N,19,Ambulance,N,High,GREEN_N,35
20,12,27,25,73.9,49.7,56.8,65.9,E,45,Normal,None,High,GREEN_N,49
14,3,7,15,37.4,12.9,26.9,31.9,S,17,Ambulance,N,Low,GREEN_N,35
11,11,5,9,33.9,35.7,23.8,41.5,S,12,Normal,None,Moderate,GREEN_W,32
8,13,23,10,51.4,47.7,64.4,44,W,10,Ambulance,E,Moderate,GREEN_E,35
55,48,35,46,100,100,92.8,93.5,E,73,Normal,None,Severe,GREEN_S,81
34,38,31,30,71.8,80.8,75.7,66.5,W,26,Ambulance,S,High,GREEN_S,35
51,37,46,50,100,94.7,100,96.4,W,20,Ambulance,E,Severe,GREEN_E,35
18,32,34,30,73.7,84.9,77.4,69.3,E,46,Normal,None,Severe,GREEN_S,80
22,32,37,31,71.9,89.3,73.7,77.6,N,13,Normal,None,Severe,GREEN_S,73
5,8,2,4,23.6,41.9,48.1,20.4,E,16,Ambulance,E,Moderate,GREEN_E,35
8,23,23,9,56.2,67.6,62.6,49.2,W,24,Normal,None,High,GREEN_S,60
34,33,33,35,93.4,100,94.6,100,W,8,Ambulance,W,Severe,GREEN_W,35
34,38,47,35,100,100,100,96.5,W,15,Normal,None,Severe,GREEN_N,72
6,15,6,7,21.9,46.9,19.1,25,E,21,Normal,None,Low,GREEN_S,28
10,19,18,20,76.7,63.5,61.9,58.2,S,15,Ambulance,N,High,GREEN_N,35
3,11,12,10,22.2,39.3,46.5,36,N,45,Normal,None,Moderate,GREEN_E,46
36,26,28,34,81.9,79.6,77.6,80.8,S,30,Breakdown,S,Severe,GREEN_N,61
15,26,28,12,78.1,55.8,65.9,45.3,S,27,Ambulance,N,High,GREEN_N,35
11,26,10,19,49.2,72.4,50,61.7,E,9,Normal,None,High,GREEN_S,55
50,52,44,53,100,96.7,99.3,100,N,47,Normal,None,Severe,GREEN_N,60
2,7,9,3,22.6,31.5,46.1,29.3,E,32,Normal,None,Moderate,GREEN_E,35
27,23,28,16,59.8,62.3,73.6,48.3,N,25,Ambulance,E,High,GREEN_E,35
13,11,8,1,42.9,31.1,27.8,9.1,N,31,Breakdown,S,Low,GREEN_N,32
8,8,18,16,52.4,76.5,67.8,62.9,N,37,Normal,None,High,GREEN_S,61
28,31,19,41,80.7,99.5,71.3,85.6,N,5,Ambulance,S,Severe,GREEN_S,35
12,12,4,10,39.7,41.2,28.6,54.3,S,14,Ambulance,W,Moderate,GREEN_W,35
40,49,55,44,100,100,100,100,W,51,Normal,None,Severe,GREEN_W,67
20,8,27,10,56.3,40.9,65,47.2,S,8,Normal,None,Moderate,GREEN_E,44
27,24,21,11,63,64,51.3,40.8,N,18,Normal,None,Moderate,GREEN_S,32
55,54,53,36,100,100,95.2,100,E,22,Ambulance,W,Severe,GREEN_W,35
3,14,10,12,25.2,39.6,30.7,27.6,S,14,Normal,None,Low,GREEN_S,16
36,27,22,34,77,68.1,74.6,80.3,N,10,Breakdown,S,High,GREEN_W,55
5,8,11,15,15.5,22.7,58.7,44.3,W,17,Ambulance,E,Moderate,GREEN_E,35
4,10,3,2,34.3,40.7,18.7,47.7,S,31,Ambulance,W,Moderate,GREEN_W,35
26,23,26,28,57.1,48.8,49.6,52.1,S,15,Normal,None,Moderate,GREEN_N,30
16,19,15,17,58.4,56.2,59.2,57.9,N,24,Ambulance,E,High,GREEN_E,35
7,15,2,2,29,51.4,18.9,16.7,W,29,Ambulance,S,Low,GREEN_S,35
28,15,11,8,68.8,58.4,57.2,55.4,N,6,Normal,None,High,GREEN_N,50
13,20,15,25,58.8,52,72,66.1,E,27,Ambulance,E,High,GREEN_E,35
17,27,10,28,50.7,66.1,49.1,59.7,W,6,Ambulance,S,High,GREEN_S,35
5,12,12,2,33,57.1,45.7,25.6,S,13,Ambulance,S,Moderate,GREEN_S,35
14,26,13,11,55.3,70.1,46.7,45.3,W,22,Ambulance,S,Moderate,GREEN_S,35
48,35,34,51,95.9,93.4,93.2,100,N,52,Normal,None,Severe,GREEN_W,63
24,17,12,10,70.3,52,52.3,45.5,S,11,Normal,None,Moderate,GREEN_N,41
15,14,28,14,58.3,50.7,64.3,45.4,W,20,Normal,None,Moderate,GREEN_E,38
15,2,14,3,56.1,21.9,43,20.4,S,30,Breakdown,S,Moderate,GREEN_N,41
48,41,45,46,94.9,100,93.1,100,N,33,Ambulance,S,Severe,GREEN_S,35
9,25,13,18,52.7,67.4,57.2,59.4,W,44,Normal,None,High,GREEN_S,49
34,53,45,40,94.4,100,100,100,N,46,Normal,None,Severe,GREEN_E,65
28,23,36,42,81.2,80,76,81.3,S,50,Normal,None,Severe,GREEN_W,56
26,15,27,28,53.2,71,59.2,61.3,N,29,Normal,None,High,GREEN_S,57
41,35,46,49,100,95.4,100,99.9,N,43,Breakdown,W,Severe,GREEN_E,57
16,15,24,9,76.9,55.6,62.4,44.6,S,28,Ambulance,N,High,GREEN_N,35
28,19,16,28,53.3,50,59,64.8,S,18,Normal,None,High,GREEN_W,46
42,24,23,21,84.9,67.8,76.1,68.8,W,35,Normal,None,High,GREEN_N,62
9,13,8,9,34.8,42.6,57.5,26.5,E,3,Ambulance,E,Moderate,GREEN_E,35
27,20,14,15,68.8,74,44.2,57.4,E,7,Breakdown,N,High,GREEN_S,50
23,18,37,23,72.1,72.4,87.8,67.5,W,14,Ambulance,E,High,GREEN_E,35
54,42,43,41,100,100,92.4,97,W,50,Normal,None,Severe,GREEN_N,72
37,39,35,25,91.9,79.8,69.1,73.9,E,22,Normal,None,Severe,GREEN_N,58
29,28,35,41,78.1,77.3,78.3,90.3,S,27,Ambulance,W,Severe,GREEN_W,35
4,4,1,15,26.9,24.3,12.6,47.5,S,13,Normal,None,Low,GREEN_W,14
39,34,49,54,100,100,100,99.5,W,17,Ambulance,S,Severe,GREEN_S,35
14,9,6,9,44.8,28,19.3,33.9,N,13,Normal,None,Moderate,GREEN_N,35
33,55,51,40,92.2,97.6,100,96.6,S,37,Normal,None,Severe,GREEN_E,71
30,35,18,26,78.3,85.5,73.2,71.4,E,14,Ambulance,S,Severe,GREEN_S,35
12,15,19,23,48.5,77.5,63.3,65.5,E,16,Normal,None,High,GREEN_S,52
40,52,49,46,100,100,96.2,100,E,34,Ambulance,N,Severe,GREEN_N,35
36,33,37,35,100,97,100,98.1,N,12,Ambulance,E,Severe,GREEN_E,35
23,24,27,11,60.5,55.1,59.4,42,E,2,Ambulance,N,Moderate,GREEN_N,35
24,38,35,42,70.1,78.1,87.8,82,N,7,Normal,None,Severe,GREEN_E,69
24,19,15,8,57.8,59.6,58.2,65.7,S,27,Ambulance,W,High,GREEN_W,35
40,47,53,52,100,100,100,96.2,S,52,Normal,None,Severe,GREEN_E,71
35,36,28,29,89.3,82.2,81.3,77.5,E,9,Normal,None,Severe,GREEN_N,67
23,27,11,23,57.8,61.5,41.1,58.4,E,29,Ambulance,S,Moderate,GREEN_S,35
5,4,14,5,23.6,51.4,41.8,29.9,N,3,Breakdown,E,Moderate,GREEN_S,47
44,54,33,47,98.2,100,97.1,100,S,52,Normal,None,Severe,GREEN_W,80
20,9,20,10,66.8,44.3,72.4,49.5,N,33,Normal,None,High,GREEN_E,65
53,55,48,49,100,100,94.5,99.8,N,7,Ambulance,N,Severe,GREEN_N,35
9,11,11,21,44.8,56.7,61.3,58.7,E,17,Ambulance,E,Moderate,GREEN_E,35
9,13,26,21,80.2,51.1,66.5,56.2,N,31,Normal,None,High,GREEN_N,60
11,26,28,10,69.5,56.8,64.3,43.5,N,17,Ambulance,N,High,GREEN_N,35
14,14,25,18,53.8,69.5,56.8,55.5,E,26,Ambulance,S,High,GREEN_S,35
32,31,38,31,88.1,82.1,80.5,78.2,E,15,Normal,None,Severe,GREEN_N,64
7,13,3,4,55.2,49.1,20.9,17.1,N,5,Ambulance,N,Moderate,GREEN_N,35
7,9,10,1,25.3,27.8,45.4,14.3,N,18,Normal,None,Low,GREEN_E,21
21,17,20,14,70.6,50.3,63.2,55.4,S,9,Normal,None,High,GREEN_N,48
29,37,29,30,94.8,81.2,77.6,69.1,N,33,Breakdown,S,Severe,GREEN_N,71
41,29,25,39,76.5,75.5,79.9,69.6,N,24,Ambulance,E,High,GREEN_E,35
27,17,21,16,56.1,56.9,57.8,71.5,E,18,Normal,None,High,GREEN_W,61
33,32,51,52,92.4,100,100,99,N,32,Normal,None,Severe,GREEN_S,71
42,28,42,38,83.9,64.9,78.2,77.2,S,24,Ambulance,N,Severe,GREEN_N,35
49,37,49,48,100,92.3,100,99.6,W,11,Ambulance,N,Severe,GREEN_N,35
2,8,15,15,24.6,33.1,54.1,42.3,S,8,Ambulance,E,Moderate,GREEN_E,35
54,37,53,50,100,94.9,100,100,E,69,Normal,None,Severe,GREEN_W,78
11,17,21,22,46.9,52,65.8,77.6,E,51,Normal,None,High,GREEN_W,54
38,38,52,43,99.1,100,97.5,100,S,12,Ambulance,S,Severe,GREEN_S,35
3,2,10,5,26.4,23.9,53.8,30.3,N,15,Normal,None,Moderate,GREEN_E,44
33,24,39,29,73.3,75.8,88.1,82.4,E,40,Normal,None,Severe,GREEN_E,66
54,39,36,54,100,95.7,97.8,100,E,23,Normal,None,Severe,GREEN_W,78
9,5,3,4,43.8,27.4,50.4,32.5,E,13,Ambulance,E,Moderate,GREEN_E,35
35,46,42,45,100,100,96.8,100,E,22,Ambulance,N,Severe,GREEN_N,35
41,47,37,48,100,98.4,100,99.4,E,29,Normal,None,Severe,GREEN_N,64
45,34,38,40,100,92.9,94.7,100,E,16,Ambulance,W,Severe,GREEN_W,35
22,14,13,15,64.7,49,74.6,56.9,W,12,Normal,None,High,GREEN_E,64
11,13,15,14,30.5,41.8,36,27.5,E,8,Ambulance,S,Moderate,GREEN_S,35
21,24,9,15,63,58.3,54.6,72.4,S,59,Normal,None,High,GREEN_W,63
21,27,20,23,61.7,55.7,54,74.7,N,1,Normal,None,High,GREEN_W,50
22,25,12,24,65.3,54.5,43.3,57.4,S,30,Ambulance,N,Moderate,GREEN_N,35
26,9,28,25,55.5,50.5,68.8,51.2,N,37,Normal,None,High,GREEN_E,48
20,25,24,13,53.8,61.1,68,50.7,S,35,Breakdown,N,High,GREEN_E,63
27,12,15,24,66.5,50.3,76.9,53.7,N,18,Normal,None,High,GREEN_E,57
53,37,55,48,100,100,100,96.7,W,25,Normal,None,Severe,GREEN_N,82
2,6,7,11,14.9,25,36.5,37.9,W,8,Ambulance,W,Low,GREEN_W,35
18,14,27,21,75.1,47.1,55.9,60.5,S,50,Normal,None,High,GREEN_N,53
25,24,8,11,67.4,68.7,53.4,43.4,W,28,Breakdown,E,High,GREEN_S,59
54,34,51,47,100,88.6,100,93.8,S,19,Ambulance,E,Severe,GREEN_E,35
10,9,2,5,38,32.6,25.4,22.7,E,23,Ambulance,N,Low,GREEN_N,35
26,9,26,24,66.2,46.5,73.8,62.3,S,30,Normal,None,High,GREEN_E,57
20,28,8,16,64.1,71.9,42.9,51.4,N,45,Breakdown,W,High,GREEN_S,50
33,35,47,34,100,100,100,100,W,8,Ambulance,W,Severe,GREEN_W,35
33,40,36,32,96.1,99.2,99,92.4,W,39,Normal,None,Severe,GREEN_S,80
10,13,23,11,51.8,60.4,72.4,78.4,E,12,Breakdown,E,High,GREEN_W,49
24,36,25,20,77.8,82.5,92,80.4,W,29,Ambulance,E,Severe,GREEN_E,35
10,14,6,15,51.1,26.9,24.2,38.7,W,6,Ambulance,N,Moderate,GREEN_N,35
35,46,35,36,93.8,100,96.8,100,W,61,Normal,None,Severe,GREEN_W,65
15,6,9,8,42.6,22.2,52.3,23,W,33,Ambulance,E,Moderate,GREEN_E,35
10,12,12,7,26,30.8,38.7,28,S,2,Normal,None,Low,GREEN_E,22
9,2,13,10,37,22,46.9,60.3,S,3,Ambulance,W,Moderate,GREEN_W,35
43,46,46,55,100,100,99.1,98.5,N,41,Breakdown,W,Severe,GREEN_S,83
9,7,2,7,34.9,32.6,49.3,31.9,E,24,Normal,None,Moderate,GREEN_E,34
9,11,3,8,47,30.9,14.1,38.6,W,24,Breakdown,W,Moderate,GREEN_N,31
32,44,38,44,90,100,100,100,N,19,Ambulance,E,Severe,GREEN_E,35
24,8,15,19,67.3,53.1,48.2,77.3,N,32,Breakdown,N,High,GREEN_W,50
21,15,19,17,53.1,59.5,68.7,53.2,N,54,Breakdown,S,High,GREEN_E,55
21,12,16,9,59.3,55.2,72.9,55.1,E,19,Ambulance,E,High,GREEN_E,35
3,7,2,2,50.5,38.4,28.9,17.3,S,11,Normal,None,Moderate,GREEN_N,41
34,40,28,35,80.9,79.1,93.6,80.1,S,73,Normal,None,Severe,GREEN_E,77
41,22,32,39,75.6,93.7,68.7,84.1,W,39,Breakdown,N,Severe,GREEN_S,60
51,45,48,32,100,97.4,100,96,S,10,Normal,None,Severe,GREEN_E,63
27,25,24,12,57.6,54.7,57.4,41.8,N,30,Ambulance,N,Moderate,GREEN_N,35
42,22,24,31,78.1,75.2,78.9,82.6,W,29,Normal,None,Severe,GREEN_W,78
21,22,36,42,70.7,67.9,74.3,72.6,S,11,Normal,None,High,GREEN_E,55
34,38,53,43,100,97.5,100,97.4,E,60,Breakdown,W,Severe,GREEN_E,73
22,19,18,24,74.9,61.6,57.7,52.7,W,7,Ambulance,N,High,GREEN_N,35
15,15,15,10,33.3,25.2,31.6,39.2,S,14,Ambulance,W,Moderate,GREEN_W,35
14,20,9,24,60.5,62.3,50.8,56.4,S,9,Normal,None,High,GREEN_S,48
